기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,missing_feature_count,all_feature_null,too_many_missing_features,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
코원플레이,056000,00361266,2022,상폐기업,CFS,True,1,상폐기업,False,4,False,False,2023,2023-03-30,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\코원플레이\2022\056000__코원플레이__2022__11011.json
아리온,058220,00441128,2023,상폐기업,,False,1,상폐기업,False,30,True,True,2024,2024-05-03,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\아리온\2023\058220__아리온__2023__11011.json
비엔씨컴퍼니,058370,00372989,2016,상폐기업,,False,1,상폐기업,False,30,True,True,2017,2017-05-08,폐지사유: 감사범위제한으로 인한 한정의견,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\비엔씨컴퍼니\2016\058370__비엔씨컴퍼니__2016__11011.json
제이웨이,058420,00359474,2022,상폐기업,OFS,True,1,상폐기업,False,6,False,False,2023,2023-04-14,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업가정 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\제이웨이\2022\058420__제이웨이__2022__11011.json
파나케이아,058530,00353018,2023,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2024,2024-06-25,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\파나케이아\2023\058530__파나케이아__2023__11011.json
레드로버,060300,00364795,2021,상폐기업,CFS,True,1,상폐기업,False,2,False,False,2022,2022-11-04,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\레드로버\2021\060300__레드로버__2021__11011.json
프리젠,060910,00353230,2016,상폐기업,OFS,True,1,상폐기업,False,3,False,False,2017,2017-02-24,폐지사유: 최근 5사업연도 연속 영업손실 발생,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\프리젠\2016\060910__프리젠__2016__11011.json
티엘아이,062860,00261887,2023,상폐기업,OFS,True,1,상폐기업,False,5,False,False,2024,2024-11-14,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\티엘아이\2023\062860__티엘아이__2023__11011.json
유네코,064510,00127699,2022,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2023,2023-01-17,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력 불확실성),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\유네코\2022\064510__유네코__2022__11011.json
에프티이앤이,065160,00389387,2018,상폐기업,CFS,True,1,상폐기업,False,3,False,False,2019,2019-05-03,폐지사유: 감사의견 거절(감사범위 제한),True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\에프티이앤이\2018\065160__에프티이앤이__2018__11011.json
