기업명,종목코드,corp_code,연도,기업상태,selected_fs_div,has_data,raw_row_count,status_values,status_conflict,all_feature_null,event_year_Y,event_date,event_source,y_minus_1_excluded,is_positive_candidate,is_excluded_y_minus_1,is_excluded_event_or_after,target_future_delist,include_for_training,exclude_reason,source_file
동서정보기술,055000,00358545,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\동서정보기술\2016\055000__동서정보기술__2016__11011.json
케이티씨텔레콤,055810,00367598,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\케이티씨텔레콤\2016\055810__케이티씨텔레콤__2016__11011.json
씨유전자,056340,00361114,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\씨유전자\2016\056340__씨유전자__2016__11011.json
베스트플로우,060410,00377814,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\베스트플로우\2016\060410__베스트플로우__2016__11011.json
케이에스리소스,066340,00385451,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\케이에스리소스\2016\066340__케이에스리소스__2016__11011.json
엘앤에프,066970,00398701,2024,상장기업,CFS,True,1,상장기업,False,False,2025,20251223,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\엘앤에프\2024\066970__엘앤에프__2024__11011.json
다원시스,068240,00523307,2025,상장기업,,False,1,상장기업,False,True,2026,20260305,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\다원시스\2025\068240__다원시스__2025__11011.json
셀트리온,068270,00413046,2025,상장기업,CFS,True,1,상장기업,False,False,2026,20260325,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상장기업\셀트리온\2025\068270__셀트리온__2025__11011.json
유에이블,071530,00416706,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\유에이블\2016\071530__유에이블__2016__11011.json
케이이엔지,077960,00451268,2016,상폐기업,,False,1,상폐기업,False,True,2017,20170630,Historical delisted stock code set (CSV + KRX) | event_year derived from company_master.modify_date,True,False,True,False,,False,excluded_y_minus_1,C:\kwoss_C\model_test\downloads\dart_financials\상폐기업\케이이엔지\2016\077960__케이이엔지__2016__11011.json
