기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
웅진에너지,103130,2020-06-01,감사의견 의견거절 2년 계속,2020,
이엘케이,094190,2020-05-22,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2020,
차이나그레이트,900040,2020-05-22,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함",2020,
피앤텔,054340,2020-05-21,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2020,
에스마크,030270,2020-05-21,감사의견거절(감사범위제한 및 계속기업 존속 불확실),2020,
리드,197210,2020-05-14,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2020,
케미메디,205290,2020-05-13,외부감사인의 감사의견 의견거절(감사범위 제한),2020,
씨티네트웍스,189540,2020-05-12,감사의견 거절(계속기업 존속능력에 대한 불확실성),2020,
동북아13호선박투자,083380,2020-05-04,존속기간 만료,2020,
하이골드8호,159650,2020-04-27,감사의견 부적정,2020,
파인넥스,123260,2020-04-10,"제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조제1항에 따른 사업보고서 법정제출기한 내 미제출, 최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출",2020,
드림티엔터테인먼트,220110,2020-04-10,사업보고서 법정제출기한('20.3.30限)내 미제출,2020,
한국제5호스팩,271740,2020-03-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2020,
대원모방,311840,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限),2020,
유쎌,252370,2020-02-27,지정자문인 선임계약 해지 후 30일 이내 미체결(2020.2.13 限),2020,
썬텍,122800,2020-02-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2020,
한화수성스팩,265920,2020-01-15,상장예비심사 청구서 미제출로 관리종목 지정후 1개월 이내 동사유를 미해소,2020,
미래에셋대우스팩1호,265480,2020-01-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2020,
제이테크놀로지,035480,2019-12-12,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,2019,
한화에이스스팩3호,264290,2019-12-06,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2019,
데코앤이,017680,2019-11-20,발행한 어음 또는 수표가 주거래은행에 의하여 최종부도로 결정되거나 거래은행에 의한 거래정지,2019,
대신밸런스제4호스팩,262830,2019-10-10,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2019,
세종머티리얼즈,135270,2019-10-02,파산선고에 따른 해산사유 발생,2019,
신한제3호스팩,257730,2019-10-01,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2019,
SK3호스팩,232330,2019-08-30,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2019,
주노콜렉션,221670,2019-07-16,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.7.2 限),2019,
사조해표,079660,2019-06-26,해산 사유 발생,2019,
영현무역,242850,2019-05-22,지정자문인 선임계약 해지 후 30일 이내 미체결(2019.5.8 限),2019,
트러스제7호,140890,2019-05-07,해산 사유 발생,2019,
에프티이앤이,065160,2019-05-03,감사의견 거절(감사범위 제한),2019,
제이에스피브이,250300,2019-03-04,지정자문인 선임계약 해지 후 30일이내 미체결(2019.2.1 限),2019,
스페이스솔루션,245030,2019-02-27,상장폐지 신청('19.1.25),2019,
한국4호스팩,240540,2019-01-29,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2019,
차이나하오란,900090,2019-01-02,제28조제1항제9호에 따라 관리종목 지정 후 공시규정 제19조 제1항에 따른 분기보고서 법정기한 내 미제출,2019,
대덕GDS,004130,2018-12-19,해산 사유 발생,2018,
한국유리공업,002000,2018-12-13,신청에 의한 상장폐지,2018,
극동자동화,272420,2018-11-15,상장폐지 신청('18.11.5),2018,
지디,155960,2018-10-12,감사의견 거절(감사범위 제한),2018,
하이에이아이1호스팩,235010,2018-10-12,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
케이비제9호스팩,232270,2018-10-12,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,2018,
우성아이비,194610,2018-10-12,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2018,
세신버팔로,110660,2018-10-11,지정자문인 선임계약 해지 후 30일이내 미체결(2018.9.20限),2018,
트레이스,052290,2018-10-11,감사의견거절(감사범위 제한),2018,
넥스지,081970,2018-10-11,감사의견거절(감사범위제한),2018,
C&S자산관리,032040,2018-10-11,감사의견거절(범위제한 및 계속기업 존속능력에 대한 불확실성),2018,
레이젠,047440,2018-10-11,감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),2018,
위너지스,026260,2018-10-11,감사의견거절(감사범위 제한),2018,
성지건설,005980,2018-10-04,감사의견 의견거절,2018,
에스와이제이,251540,2018-09-07,감사의견 거절(감사범위 제한),2018,
