기업명,종목코드,상폐일,폐지사유,event_year_Y,exclude_rule
SK머티리얼즈,036490,2021-12-27,피흡수합병,2021,merge_or_spac
툴젠,199800,2021-12-10,코스닥시장 이전상장,2021,market_transfer
에스에이티이엔지,158300,2021-12-09,피흡수합병,2021,merge_or_spac
다이노나,086080,2021-11-22,피흡수합병,2021,merge_or_spac
NPX,222160,2021-11-18,코스닥시장 이전상장,2021,market_transfer
녹십자셀,031390,2021-11-17,피흡수합병,2021,merge_or_spac
코오롱머티리얼,144620,2021-11-05,지주회사(최대주주등)의 완전자회사화 등,2021,privatization
미래테크놀로지,213090,2021-10-05,피흡수합병,2021,merge_or_spac
에스앤디,260970,2021-09-29,코스닥시장 이전상장,2021,market_transfer
에이비온,203400,2021-09-08,코스닥시장 이전상장,2021,market_transfer
우리금융캐피탈,033660,2021-08-27,지주회사(최대주주등)의 완전자회사화 등,2021,privatization
엠로,058970,2021-08-13,코스닥시장 이전상장,2021,market_transfer
PI첨단소재,178920,2021-08-09,유가증권시장 상장,2021,market_transfer
에브리봇,270660,2021-07-28,코스닥시장 이전상장,2021,market_transfer
휴럼,284420,2021-07-27,피흡수합병,2021,merge_or_spac
케이맥,043290,2021-07-20,피흡수합병,2021,merge_or_spac
GS홈쇼핑,028150,2021-07-16,피흡수합병,2021,merge_or_spac
엠씨넥스,097520,2021-07-06,유가증권시장 상장,2021,market_transfer
라온로보틱스,232680,2021-06-17,코스닥시장 이전상장,2021,market_transfer
한국아트라스비엑스,023890,2021-04-19,피흡수합병,2021,merge_or_spac
씨이랩,189330,2021-02-24,코스닥시장 이전상장,2021,market_transfer
피엔에이치테크,239890,2021-02-16,코스닥시장 이전상장,2021,market_transfer
원바이오젠,278380,2021-02-09,피흡수합병,2021,merge_or_spac
엠에프엠코리아,251960,2020-12-30,피흡수합병,2020,merge_or_spac
TS트릴리온,284610,2020-12-30,피흡수합병,2020,merge_or_spac
에스케이엔펄스,057500,2020-12-23,타법인의 완전자회사로 편입,2020,privatization
지놈앤컴퍼니,314130,2020-12-23,코스닥시장 이전상장,2020,market_transfer
에프앤가이드,064850,2020-12-17,코스닥시장 이전상장,2020,market_transfer
롤링스톤,214610,2020-10-22,코스닥시장 이전상장,2020,market_transfer
비나텍,126340,2020-09-23,코스닥시장 이전상장,2020,market_transfer
에코앤드림,101360,2020-07-30,코스닥시장 이전상장,2020,market_transfer
제놀루션,225220,2020-07-24,코스닥시장 이전상장,2020,market_transfer
티에스아이,277880,2020-07-22,코스닥시장 이전상장,2020,market_transfer
인터파크,108790,2020-07-16,피흡수합병,2020,merge_or_spac
젠큐릭스,229000,2020-06-25,코스닥시장 이전상장,2020,market_transfer
카이노스메드,220250,2020-06-08,피흡수합병,2020,merge_or_spac
한화갤러리아타임월드,027390,2020-04-16,지주회사(최대주주등)의 완전자회사화 등,2020,privatization
두산건설,011160,2020-03-24,지주회사(최대주주등)의 완전자회사화 등,2020,privatization
오렌지라이프,079440,2020-02-14,지주회사(최대주주등)의 완전자회사화 등,2020,privatization
위세아이텍,065370,2020-02-10,코스닥시장 이전상장,2020,market_transfer
한컴지엠디,077280,2020-01-16,피흡수합병,2020,merge_or_spac
소프트캠프,210610,2019-12-30,피흡수합병,2019,merge_or_spac
아이엘사이언스,122050,2019-12-27,피흡수합병,2019,merge_or_spac
리메드,302550,2019-12-06,코스닥시장 이전상장,2019,market_transfer
인프라웨어테크놀러지,247300,2019-12-06,피흡수합병,2019,merge_or_spac
한국비엔씨,226610,2019-12-03,피흡수합병,2019,merge_or_spac
자비스,230400,2019-11-15,피흡수합병,2019,merge_or_spac
미디어젠,279600,2019-11-05,코스닥시장 이전상장,2019,market_transfer
콘텐트리중앙,036420,2019-10-18,유가증권시장 상장,2019,market_transfer
알로이스,271400,2019-10-01,피흡수합병,2019,merge_or_spac
쿠첸,225650,2019-09-16,타법인의 완전자회사로 편입,2019,privatization
그린플러스,186230,2019-08-07,코스닥시장 이전상장,2019,market_transfer
현대정보기술,026180,2019-07-17,피흡수합병,2019,merge_or_spac
포인트엔지니어링,176560,2019-07-16,피흡수합병,2019,merge_or_spac
엔케이맥스,262760,2019-07-04,피흡수합병,2019,merge_or_spac
줌인터넷,229480,2019-06-10,피흡수합병,2019,merge_or_spac
포스코퓨처엠,003670,2019-05-29,유가증권시장 상장,2019,market_transfer
수젠텍,253840,2019-05-28,코스닥시장 이전상장,2019,market_transfer
