experiment,threshold,precision,recall,f1,tp,fp,fn,tn
single_year_year_standardized,0.29,0.009162303664921465,0.7,0.01808785529715762,7,757,3,1406
single_year_year_standardized,0.3,0.009358288770053475,0.7,0.018469656992084433,7,741,3,1422
single_year_year_standardized,0.31,0.009735744089012517,0.7,0.019204389574759947,7,712,3,1451
single_year_year_standardized,0.32,0.01002865329512894,0.7,0.01977401129943503,7,691,3,1472
single_year_year_standardized,0.33,0.010294117647058823,0.7,0.020289855072463767,7,673,3,1490
single_year_year_standardized,0.34,0.010558069381598794,0.7,0.020802377414561663,7,656,3,1507
single_year_year_standardized,0.35,0.010954616588419406,0.7,0.02157164869029276,7,632,3,1531
single_year_year_standardized,0.36,0.011326860841423949,0.7,0.022292993630573247,7,611,3,1552
single_year_year_standardized,0.37,0.011647254575707155,0.7,0.022913256955810146,7,594,3,1569
single_year_year_standardized,0.38,0.01206896551724138,0.7,0.023728813559322035,7,573,3,1590
single_year_year_standardized,0.39,0.012302284710017574,0.7,0.024179620034542316,7,562,3,1601
single_year_year_standardized,0.4,0.012681159420289856,0.7,0.02491103202846975,7,545,3,1618
single_year_year_standardized,0.41,0.013084112149532711,0.7,0.025688073394495414,7,528,3,1635
single_year_year_standardized,0.42,0.013358778625954198,0.7,0.026217228464419477,7,517,3,1646
single_year_year_standardized,0.43,0.0136986301369863,0.7,0.026871401151631478,7,504,3,1659
single_year_year_standardized,0.44,0.014084507042253521,0.7,0.027613412228796843,7,490,3,1673
single_year_year_standardized,0.45,0.012320328542094456,0.6,0.02414486921529175,6,481,4,1682
single_year_year_standardized,0.46,0.01263157894736842,0.6,0.024742268041237112,6,469,4,1694
single_year_year_standardized,0.47,0.012987012987012988,0.6,0.025423728813559324,6,456,4,1707
single_year_year_standardized,0.48,0.013392857142857142,0.6,0.026200873362445413,6,442,4,1721
single_year_year_standardized,0.49,0.013986013986013986,0.6,0.02733485193621868,6,423,4,1740
single_year_year_standardized,0.5,0.014285714285714285,0.6,0.027906976744186046,6,414,4,1749
single_year_year_standardized,0.51,0.014563106796116505,0.6,0.02843601895734597,6,406,4,1757
single_year_year_standardized,0.52,0.015037593984962405,0.6,0.029339853300733496,6,393,4,1770
single_year_year_standardized,0.53,0.015424164524421594,0.6,0.03007518796992481,6,383,4,1780
single_year_year_standardized,0.54,0.015873015873015872,0.6,0.030927835051546393,6,372,4,1791
single_year_year_standardized,0.55,0.016216216216216217,0.6,0.031578947368421054,6,364,4,1799
single_year_year_standardized,0.56,0.01675977653631285,0.6,0.03260869565217391,6,352,4,1811
