종목코드,corp_code,기업명,event_year_Y,event_date,event_source,y_minus_1_excluded
156170,00000000,비앤에스미디어,2017,2017-07-13,폐지사유: 지정자문인 선임계약 해지 후 30일이내 미체결(2017.6.29限),True
158310,00000000,참존글로벌,2022,2022-11-09,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
159650,00000000,하이골드8호,2020,2020-04-27,폐지사유: 감사의견 부적정,True
160350,00000000,웹솔루스,2015,2015-04-30,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
161570,00000000,THE MIDONG,2024,2024-06-17,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
163430,00000000,디피코,2024,2024-06-18,폐지사유: '22사업연도 감사의견 의견거절 및 '23사업연도 사업보고서 미제출,True
165270,00000000,금오하이텍,2017,2017-06-07,폐지사유: 최종부도 발생,True
172580,00000000,하이골드12호,2022,2022-01-03,폐지사유: 신청에 의한 상장폐지,True
176440,00000000,에이치엔티,2022,2022-06-27,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적을 고려하여 상장폐지기준에 해당한다고 결정,True
179280,00000000,스탠다드펌,2015,2015-04-30,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
179440,00000000,비지스틸,2016,2016-07-07,폐지사유: 상장폐지 신청('16.6.14),True
181340,00000000,이즈미디어,2024,2024-07-10,폐지사유: 감사범위 제한,True
181980,00000000,자원메디칼,2015,2015-04-15,폐지사유: 상장폐지 신청('15.03.23),True
182690,00000000,테라셈,2022,2022-10-17,폐지사유: 감사의견 거절(감사범위 제한),True
183350,00000000,LPK로보틱스,2020,2020-06-17,"폐지사유: 외부감사인의 감사의견 거절(감사범위 제한), 감사의견 한정(감사범위 제한)",True
185280,00000000,이푸른,2016,2016-12-05,폐지사유: 지정자문인 선임계약 해지 후 30일이내 미체결(2016.11.21限),True
189540,00000000,씨티네트웍스,2020,2020-05-12,폐지사유: 감사의견 거절(계속기업 존속능력에 대한 불확실성),True
189700,00000000,디피앤케이,2017,2017-08-31,폐지사유: 지정자문인 선임계약 해지 후 30일이내 미체결(2017.08.17限),True
192240,00000000,나이코,2016,2016-12-23,폐지사유: 상장폐지 신청('16.12.9),True
194510,00000000,파티게임즈,2020,2020-09-09,폐지사유: 감사의견거절(감사범위 제한),True
194610,00000000,우성아이비,2018,2018-10-12,폐지사유: 감사의견거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
194860,00000000,SY이노베이션,2017,2017-04-12,폐지사유: 감사의견 거절(감사범위제한),True
195440,00000000,퓨전,2021,2021-06-10,폐지사유: 감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성),True
197210,00000000,리드,2020,2020-05-14,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
198940,00000000,한주라이트메탈,2017,2017-02-21,폐지사유: 상장폐지 신청('17.1.18),True
199870,00000000,(주)배터리솔루션,2018,2018-03-28,폐지사유: 지정자문인 선임계약 해지후 30일이내 미체결(18.3.14限),True
204440,00000000,대우스팩2호,2017,2017-05-29,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
204650,00000000,케이티비스팩1호,2017,2017-07-07,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
204690,00000000,다린,2017,2017-08-02,폐지사유: 상장폐지 신청('17.07.28),True
204760,00000000,현대에이블스팩1호,2017,2017-06-15,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
204990,00000000,코썬바이오,2020,2020-08-11,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
205290,00000000,케미메디,2020,2020-05-13,폐지사유: 외부감사인의 감사의견 의견거절(감사범위 제한),True
206660,00000000,골든브릿지제2호스팩,2017,2017-10-20,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
207230,00000000,디와이엘엔제이,2016,2016-07-26,폐지사유: 지정자문인 선임계약의 해지한 날의 다음날부터 30일이내(2016.07.12限) 지정자문인 선임계약 미체결,True
207720,00000000,엔에이치SL스팩,2017,2017-10-16,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
207930,00000000,SK1호스팩,2017,2017-11-06,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
208870,00000000,하나머스트3호스팩,2017,2017-07-31,폐지사유: 상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소,True
214310,00000000,에스엘에너지,2024,2024-12-23,폐지사유: 기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정,True
