기업명,종목코드,상폐일,폐지사유
제낙스,065620,2021-08-09,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
키움제5호스팩,311270,2021-08-02,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
에브리봇,270660,2021-07-28,코스닥시장 이전상장
휴럼,284420,2021-07-27,피흡수합병
케이맥,043290,2021-07-20,피흡수합병
GS홈쇼핑,028150,2021-07-16,피흡수합병
SK4호스팩,307070,2021-07-13,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
하나머스트제6호스팩,307160,2021-07-08,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
엠씨넥스,097520,2021-07-06,유가증권시장 상장
라온로보틱스,232680,2021-06-17,코스닥시장 이전상장
에스앤씨엔진그룹,900080,2021-06-14,"법정제출기한까지 사업보고서를 제출하지 아니한 후, 법정제출기한의 다음날부터 10일이내에 사업보고서를 제출하지 아니함"
아이엠텍,226350,2021-06-11,감사의견 거절(감사범위 제한)
퓨전,195440,2021-06-10,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
행남사,008800,2021-06-07,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
에이팸,073070,2021-06-04,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
SGA클라우드서비스,224880,2021-05-06,분산요건 미달
전우정밀,120780,2021-05-06,분산요건 미달
에이치디,102210,2021-04-19,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
한국아트라스비엑스,023890,2021-04-19,피흡수합병
동성화학,005190,2021-04-16,해산 사유 발생
구스앤홈,329050,2021-04-13,사업보고서 법정제출기한('21.3.31限)내 미제출
미래SCI,028040,2021-04-13,"최근 2년간 3회 이상 공시규정 제19조제1항의 규정에 의한 사업보고서, 반기보고서 또는 분기보고서 법정제출기한 내 미제출"
씨이랩,189330,2021-02-24,코스닥시장 이전상장
피엔에이치테크,239890,2021-02-16,코스닥시장 이전상장
이매진아시아,036260,2021-02-15,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당
원바이오젠,278380,2021-02-09,피흡수합병
이에스산업,241510,2021-01-26,지정자문인 선임계약 해지 후 30일 이내 미체결(2021.1.13 限)
한국제7호스팩,291210,2021-01-15,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동사유 미해소
엠에프엠코리아,251960,2020-12-30,피흡수합병
TS트릴리온,284610,2020-12-30,피흡수합병
에스케이엔펄스,057500,2020-12-23,타법인의 완전자회사로 편입
지놈앤컴퍼니,314130,2020-12-23,코스닥시장 이전상장
코리아오토글라스,152330,2020-12-18,해산 사유 발생
에프앤가이드,064850,2020-12-17,코스닥시장 이전상장
비엔에프코퍼레이션,271780,2020-11-05,상장폐지 신청('20.10.13)
롤링스톤,214610,2020-10-22,코스닥시장 이전상장
비나텍,126340,2020-09-23,코스닥시장 이전상장
파티게임즈,194510,2020-09-09,감사의견거절(감사범위 제한)
신한제4호스팩,277480,2020-08-20,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
코썬바이오,204990,2020-08-11,기업의 계속성 및 경영의 투명성 등을 종합적으로 고려하여 상장폐지기준에 해당한다고 결정
티씨엠생명과학,228180,2020-08-07,포괄적 주식교환에 따른 상장폐지 신청('20.7.17)
바이오빌,065940,2020-07-31,감사의견 거절(감사범위 제한 및 계속기업 존속능력에 대한 불확실성)
에코앤드림,101360,2020-07-30,코스닥시장 이전상장
한국제6호스팩,281410,2020-07-27,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
제놀루션,225220,2020-07-24,코스닥시장 이전상장
티에스아이,277880,2020-07-22,코스닥시장 이전상장
고려개발,004200,2020-07-21,해산 사유 발생
인터파크,108790,2020-07-16,피흡수합병
한국제지,002300,2020-07-13,해산 사유 발생
모다,149940,2020-07-10,감사의견거절(감사범위 제한)
한화에이스스팩4호,279410,2020-07-03,상장예비심사 청구서 미제출로 관리종목 지정 후 1개월 이내 동 사유 미해소
